engine,vehicle,year_start,year_end,year_span,era,power_hp,torque_nm,manufacturer,region,displacement,displacement_l,aspiration,confidence,notes,source
Ferrari F154 CB,Ferrari 488 GTB,2015,2019.0,5.0,2010s,660.0,760.0,Ferrari,European,3902.0,3.9,Naturally Aspirated,verified_manual,twin turbo,verified_manual
Lamborghini V12 6.5,Lamborghini Aventador,2011,2022.0,12.0,2010s,700.0,690.0,Lamborghini,European,6498.0,6.5,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
Lamborghini V10 5.2,Lamborghini Huracan,2014,2025.0,12.0,2010s,610.0,560.0,Lamborghini,European,5204.0,5.2,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
Bugatti WR16,Bugatti Veyron,2005,2015.0,11.0,2000s,1001.0,1250.0,Bugatti,European,7993.0,8.0,Naturally Aspirated,verified_manual,quad turbo,verified_manual
Bugatti WR16,Bugatti Chiron,2016,2025.0,10.0,2010s,1500.0,1600.0,Bugatti,European,7993.0,8.0,Naturally Aspirated,verified_manual,quad turbo evolved,verified_manual
Porsche M96 3.6,Porsche 911 996,1997,2004.0,8.0,90s,316.0,370.0,Porsche,European,3596.0,3.6,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
Porsche MA1 4.0,Porsche 911 GT3 992,2021,2025.0,5.0,2020s+,510.0,470.0,Porsche,European,3996.0,4.0,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
Audi 2.5 TFSI,Audi TT RS,2009,2025.0,17.0,2000s,394.0,480.0,Audi,European,2480.0,2.5,Turbocharged,verified_manual,inline 5 turbo,verified_manual
Kia Lambda II,Kia Stinger GT,2017,2025.0,9.0,2010s,365.0,510.0,Kia,Other,3342.0,3.3,Naturally Aspirated,verified_manual,twin turbo V6,verified_manual
Toyota 1LR-GUE,Lexus LFA,2010,2012.0,3.0,2010s,553.0,480.0,Toyota,JDM,4805.0,4.8,Naturally Aspirated,verified_manual,Yamaha co-developed,verified_manual
Nissan VR38DETT,Nissan GT-R Nismo 2020,2020,2023.0,4.0,2020s+,600.0,652.0,Nissan,JDM,3799.0,3.8,Turbocharged,verified_manual,Nismo special,verified_manual
Honda C32B,Acura NSX NA1,1990,2005.0,16.0,90s,276.0,304.0,Honda,JDM,3179.0,3.2,Naturally Aspirated,verified_manual,VTEC V6,verified_manual
Mazda 13B-REW,Mazda RX-7 FD,1992,2002.0,11.0,90s,255.0,294.0,Mazda,JDM,1308.0,1.3,Naturally Aspirated,verified_manual,twin turbo rotary,verified_manual
BMW B48B20,Toyota GR Supra,2020,2026.0,7.0,2020s+,255.0,,BMW,European,1998.0,2.0,Naturally Aspirated,verified_manual,car_discovery,https://en.wikipedia.org/wiki/Toyota_GR_Supra
BMW B58B30C,Toyota GR Supra,2020,2026.0,7.0,2020s+,255.0,,BMW,European,2998.0,3.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Toyota_GR_Supra
BMW B58B30O1,Toyota GR Supra,2020,2026.0,7.0,2020s+,255.0,,BMW,European,2998.0,3.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Toyota_GR_Supra
BMW B58B30M1,Toyota GR Supra,2020,2026.0,7.0,2020s+,255.0,,BMW,European,2998.0,3.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Toyota_GR_Supra
2.2 L 5S-FE I4 (gasoline) 3.0 L 1MZ-FE V6 (gasoline) 2.5 L 2MZ-FE V6 (gasoline),Toyota Camry (XV20),1997,2001.0,5.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Toyota_Camry_(XV20)
4.8 L 1LR-GUE even-firing V10,Lexus LFA,2010,,,2010s,,,4.8,Other,4800.0,4.8,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Lexus_LFA
VR38DETT,Nissan GT-R,2009,2024.0,16.0,2000s,473.0,,VR38DETT,Other,3800.0,3.8,Turbocharged,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Nissan_GT-R
VQ37VHR,Nissan 370Z,2009,2020.0,12.0,2000s,,,VQ37VHR,Other,3700.0,3.7,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Nissan_370Z
VQ35DE,Nissan 350Z,2003,2009.0,7.0,2000s,,,VQ35DE,Other,3500.0,3.5,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Nissan_350Z
VQ35HR,Nissan 350Z,2003,2009.0,7.0,2000s,,,VQ35HR,Other,3500.0,3.5,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Nissan_350Z
CA18DET,Nissan 180SX,1989,1998.0,10.0,80s,,,CA18DET,Other,1800.0,1.8,Turbocharged,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Nissan_180SX
SR20DE,Nissan 180SX,1989,1998.0,10.0,80s,,,SR20DE,Other,1800.0,1.8,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Nissan_180SX
SR20DET,Nissan 180SX,1989,1998.0,10.0,80s,,,SR20DET,Other,1800.0,1.8,Turbocharged,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Nissan_180SX
K20A3,Honda Integra (fourth generation),2002,2006.0,5.0,2000s,160.0,,K20A3,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Honda_Integra_(fourth_generation)
K20A2,Honda Integra (fourth generation),2002,2006.0,5.0,2000s,160.0,,K20A2,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Honda_Integra_(fourth_generation)
K20Z1,Honda Integra (fourth generation),2002,2006.0,5.0,2000s,160.0,,K20Z1,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Honda_Integra_(fourth_generation)
K20A,Honda Integra (fourth generation),2002,2006.0,5.0,2000s,160.0,,K20A,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Honda_Integra_(fourth_generation)
Honda C30A,Honda NSX (first generation),1991,2006.0,16.0,90s,270.0,,Honda,JDM,3000.0,3.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Honda_NSX_(first_generation)
Honda C32B,Honda NSX (first generation),1991,2006.0,16.0,90s,270.0,,Honda,JDM,3179.0,3.2,Naturally Aspirated,verified_manual,car_discovery,https://en.wikipedia.org/wiki/Honda_NSX_(first_generation)
EJ series engine,Subaru Impreza WRX STI,1994,2014.0,21.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Subaru_Impreza_WRX_STI
4B11T,Mitsubishi Lancer Evolution X,2007,,,2000s,440.0,,4B11T,Other,2000.0,2.0,Turbocharged,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mitsubishi_Lancer_Evolution_X
4G63T,Mitsubishi Lancer Evolution,1992,2016.0,25.0,90s,,,4G63T,Other,2000.0,2.0,Turbocharged,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mitsubishi_Lancer_Evolution
4B11T,Mitsubishi Lancer Evolution,1992,2016.0,25.0,90s,,,4B11T,Other,2000.0,2.0,Turbocharged,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mitsubishi_Lancer_Evolution
6G72,Mitsubishi 3000GT,1991,1999.0,9.0,90s,,,6G72,Other,3000.0,3.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mitsubishi_3000GT
LT2,Chevrolet Corvette (C8),2020,,,2020s+,495.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C8)
LS6,Chevrolet Corvette (C8),2020,,,2020s+,495.0,,LS6,Other,5665.0,5.7,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C8)
LT6,Chevrolet Corvette (C8),2020,,,2020s+,495.0,,LT6,Other,5499.0,5.5,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C8)
LT7,Chevrolet Corvette (C8),2020,,,2020s+,495.0,,LT7,Other,6200.0,6.2,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C8)
LT1V8,Chevrolet Corvette (C7),2014,2019.0,6.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C7)
LT4,Chevrolet Corvette (C7),2014,2019.0,6.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C7)
LT5,Chevrolet Corvette (C7),2014,2019.0,6.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C7)
LS2,Chevrolet Corvette (C6),2005,2013.0,9.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
LS3,Chevrolet Corvette (C6),2005,2013.0,9.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
LS7,Chevrolet Corvette (C6),2005,2013.0,9.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
LS9,Chevrolet Corvette (C6),2005,2013.0,9.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
LS1V8,Chevrolet Corvette (C5),1997,2004.0,8.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C5)
LS6,Chevrolet Corvette (C5),1997,2004.0,8.0,90s,,,LS6,Other,5665.0,5.7,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C5)
LT4,Cadillac CT5,2020,,,2020s+,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Cadillac_CT5
Hellcat,Dodge Challenger (2008),2008,2023.0,16.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Dodge_Challenger_(2008)
Viper V10,Dodge Viper,1992,2006.0,15.0,90s,400.0,,Viper,Other,8000.0,8.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Dodge_Viper
Hemi,Jeep Grand Cherokee (WK2),2011,2022.0,12.0,2010s,,,Hemi,Other,3000.0,3.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Jeep_Grand_Cherokee_(WK2)
Hellcat Hemi,Jeep Grand Cherokee (WK2),2011,2022.0,12.0,2010s,,,Hellcat,Other,6166.0,6.2,Supercharged,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Jeep_Grand_Cherokee_(WK2)
Hemi,Ram 1500 TRX,2021,2024.0,4.0,2020s+,,,Hemi,Other,3000.0,3.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Ram_1500_TRX
N43,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,N43,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N45,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N46,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N52,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,N52,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N54,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,N54,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N55,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,N55,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
M47,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,M47,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N47,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N46,BMW Z4 (E85),2003,2008.0,6.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
M54,BMW Z4 (E85),2003,2008.0,6.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
N52,BMW Z4 (E85),2003,2008.0,6.0,2000s,,,N52,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
S54,BMW Z4 (E85),2003,2008.0,6.0,2000s,,,S54,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
S63,BMW M8,2019,,,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_M8
M52B28,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M60B30,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M62B35,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M60B40,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M62B44,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,M62B44,Other,4398.0,4.4,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M73B54,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M51,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M57,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,M57,Other,2800.0,2.8,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M67,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M52,BMW 5 Series (E39),1995,,,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M54,BMW 5 Series (E39),1995,,,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M62,BMW 5 Series (E39),1995,,,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
S62,BMW 5 Series (E39),1995,,,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M47,BMW 5 Series (E39),1995,,,90s,,,M47,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M51,BMW 5 Series (E39),1995,,,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M57,BMW 5 Series (E39),1995,,,90s,,,M57,Other,2800.0,2.8,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
