engine_variant,engine,variant,manufacturer,region,engine_family,aspiration,displacement,displacement_l,power_hp,torque_nm,bore_mm,stroke_mm,compression_ratio,redline_rpm,hp_per_litre,configuration,valvetrain,fuel_system,block_material,head_material,production,confidence
Toyota 1UR-FE,Toyota 1UR-FE,base,Toyota,JDM,1UR-FE,Naturally Aspirated,4969.0,5.0,381.0,530.0,94.0,83.0,10.9,,76.7,V8,,,Aluminum,Aluminum,,verified_manual
Nissan VQ37VHR,Nissan VQ37VHR,base,Nissan,JDM,VQ,Naturally Aspirated,3696.0,3.7,332.0,363.0,95.5,86.4,11.0,,89.8,V6,,,Aluminum,Aluminum,,verified_manual
Nissan VR38DETT,Nissan VR38DETT,base,Nissan,JDM,VR,Turbocharged,3799.0,3.8,480.0,588.0,95.5,88.4,9.0,,126.3,V6,,,Aluminum,Aluminum,,verified_manual
BMW B58B30,BMW B58B30,base,BMW,European,B,Naturally Aspirated,2998.0,3.0,335.0,500.0,82.0,94.6,11.0,,111.7,Straight-6,,,Aluminum,Aluminum,,verified_manual
BMW S58B30,BMW S58B30,base,BMW,European,S,Naturally Aspirated,2993.0,3.0,503.0,600.0,84.0,89.6,9.3,,168.1,Straight-6,,,Aluminum,Aluminum,,verified_manual
Mercedes M177,Mercedes M177,base,Mercedes,European,M,Naturally Aspirated,3982.0,4.0,503.0,700.0,83.0,92.4,8.6,,126.3,V8,,,Aluminum,Aluminum,,verified_manual
Mercedes M159,Mercedes M159,base,Mercedes,European,M,Naturally Aspirated,6208.0,6.2,571.0,650.0,102.2,94.6,11.3,,92.0,V8,,,Aluminum,Aluminum,,verified_manual
Mercedes OM642,Mercedes OM642,base,Mercedes,European,OM,Naturally Aspirated,2987.0,3.0,224.0,540.0,83.0,92.0,17.7,,75.0,V6,,,Aluminum,Aluminum,,verified_manual
McLaren M840T,McLaren M840T,base,McLaren,European,M,Turbocharged,3994.0,4.0,710.0,770.0,86.1,85.8,8.7,,177.8,V8,,,Aluminum,Aluminum,,verified_manual
Mitsubishi 4G63T,Mitsubishi 4G63T,base,Mitsubishi,JDM,4G63T,Turbocharged,1997.0,2.0,276.0,422.0,85.0,88.0,8.5,,138.2,Straight-4,,,Cast iron,Aluminum,,verified_manual
Subaru EJ257,Subaru EJ257,base,Subaru,JDM,EJ,Turbocharged,2457.0,2.5,300.0,407.0,99.5,79.0,8.4,,122.1,Flat-4,,,Aluminum,Aluminum,,verified_manual
GM LS3,GM LS3,base,GM,American,LS,Naturally Aspirated,6162.0,6.2,430.0,569.0,103.2,92.0,10.7,,69.8,V8,,,Aluminum,Aluminum,,verified_manual
GM LS7,GM LS7,base,GM,American,LS,Naturally Aspirated,7011.0,7.0,505.0,637.0,104.8,101.6,11.0,,72.0,V8,,,Aluminum,Aluminum,,verified_manual
GM LS9,GM LS9,base,GM,American,LS,Supercharged,6162.0,6.2,638.0,819.0,103.2,92.0,9.1,,103.5,V8,,,Aluminum,Aluminum,,verified_manual
Ford 5.0 Coyote,Ford 5.0 Coyote,base,Ford,American,5.0,Naturally Aspirated,4951.0,5.0,412.0,529.0,92.2,92.7,11.0,,83.2,V8,,,Aluminum,Aluminum,,verified_manual
Ford 5.2 Voodoo,Ford 5.2 Voodoo,base,Ford,American,5.2,Naturally Aspirated,5163.0,5.2,526.0,582.0,94.0,93.0,12.0,,101.9,V8,,,Aluminum,Aluminum,,verified_manual
Ford 5.8 Trinity,Ford 5.8 Trinity,base,Ford,American,5.8,Naturally Aspirated,5856.0,5.9,662.0,847.0,92.2,110.0,9.0,,113.0,V8,,,Aluminum,Aluminum,,verified_manual
Chrysler 6.4 Hemi,Chrysler 6.4 Hemi,base,Chrysler,American,6.4,Naturally Aspirated,6417.0,6.4,470.0,644.0,103.0,96.0,10.9,,73.2,V8,,,Cast iron,Aluminum,,verified_manual
Chrysler 6.2 Hellcat,Chrysler 6.2 Hellcat,base,Chrysler,American,6.2,Supercharged,6166.0,6.2,707.0,881.0,103.9,90.9,9.5,,114.7,V8,,,Cast iron,Aluminum,,verified_manual
BMW S54B32,BMW S54B32,base,BMW,European,S,Naturally Aspirated,3246.0,3.2,338.0,365.0,87.0,91.0,11.5,,104.1,Straight-6,,,Cast iron,Aluminum,,verified_manual
BMW S65B40,BMW S65B40,base,BMW,European,S,Naturally Aspirated,3999.0,4.0,414.0,400.0,92.0,75.2,12.0,,103.5,V8,,,Aluminum,Aluminum,,verified_manual
BMW N54B30,BMW N54B30,base,BMW,European,N,Naturally Aspirated,2979.0,3.0,306.0,400.0,84.0,89.6,10.2,,102.7,Straight-6,,,Aluminum,Aluminum,,verified_manual
BMW N55B30,BMW N55B30,base,BMW,European,N,Naturally Aspirated,2979.0,3.0,300.0,400.0,84.0,89.6,10.2,,100.7,Straight-6,,,Aluminum,Aluminum,,verified_manual
BMW S55B30,BMW S55B30,base,BMW,European,S,Naturally Aspirated,2979.0,3.0,425.0,550.0,84.0,89.6,10.2,,142.7,Straight-6,,,Aluminum,Aluminum,,verified_manual
Mercedes M156,Mercedes M156,base,Mercedes,European,M,Naturally Aspirated,6208.0,6.2,457.0,630.0,102.2,94.6,11.3,,73.6,V8,,,Aluminum,Aluminum,,verified_manual
Toyota 2JZ-GTE,Toyota 2JZ-GTE,base,Toyota,JDM,2JZ-GTE,Turbocharged,2998.0,3.0,276.0,379.0,86.0,86.0,8.5,,92.1,Straight-6,,,Cast iron,Aluminum,,verified_manual
Toyota 2JZ-GE,Toyota 2JZ-GE,base,Toyota,JDM,2JZ-GE,Naturally Aspirated,2998.0,3.0,220.0,294.0,86.0,86.0,10.5,,73.4,Straight-6,,,Cast iron,Aluminum,,verified_manual
Nissan RB26DETT,Nissan RB26DETT,base,Nissan,JDM,RB,Turbocharged,2568.0,2.6,276.0,353.0,86.0,73.7,8.5,,107.5,Straight-6,,,Cast iron,Aluminum,,verified_manual
Nissan SR20DET,Nissan SR20DET,base,Nissan,JDM,SR,Turbocharged,1998.0,2.0,205.0,275.0,86.0,86.0,8.5,,102.6,Straight-4,,,Cast iron,Aluminum,,verified_manual
Honda K20A,Honda K20A,base,Honda,JDM,K,Naturally Aspirated,1998.0,2.0,221.0,206.0,86.0,86.0,11.7,,110.6,Straight-4,,,Aluminum,Aluminum,,verified_manual
Honda B18C,Honda B18C,base,Honda,JDM,B,Naturally Aspirated,1797.0,1.8,197.0,178.0,81.0,87.2,10.6,,109.6,Straight-4,,,Aluminum,Aluminum,,verified_manual
Honda C32B,Honda C32B,base,Honda,JDM,C,Naturally Aspirated,3179.0,3.2,276.0,304.0,93.0,78.0,10.2,,86.8,V6,,,Aluminum,Aluminum,,verified_manual
Kia Lambda II,Kia Lambda II,base,Kia,JDM,LAMBDA,Naturally Aspirated,3342.0,3.3,365.0,510.0,96.0,77.4,11.5,,109.2,V6,,,Aluminum,Aluminum,,verified_manual
BMW B48B20,BMW B48B20,base,BMW,European,B,Naturally Aspirated,1998.0,2.0,255.0,400.0,82.0,94.6,11.0,,127.6,Straight-4,,,Aluminum,Aluminum,,verified_manual
Bugatti WR16,Bugatti WR16,base,Bugatti,European,WR,Naturally Aspirated,7993.0,8.0,1001.0,1250.0,86.0,86.0,9.0,,125.2,W16,,,Aluminum,Aluminum,,verified_manual
Ferrari F154 CB,Ferrari F154 CB,base,Ferrari,European,F,Naturally Aspirated,3902.0,3.9,660.0,760.0,86.5,83.1,9.4,,169.1,V8,,,Aluminum,Aluminum,,verified_manual
Lamborghini V10 5.2,Lamborghini V10 5.2,base,Lamborghini,European,V,Naturally Aspirated,5204.0,5.2,610.0,560.0,84.5,92.8,12.7,,117.2,V10,,,Aluminum,Aluminum,,verified_manual
Aston Martin AM28,Aston Martin AM28,base,Aston,European,MARTIN,Naturally Aspirated,5204.0,5.2,528.0,625.0,97.0,88.0,9.5,,101.5,V12,,,Aluminum,Aluminum,,verified_manual
Porsche MA1 4.0,Porsche MA1 4.0,base,Porsche,European,MA,Naturally Aspirated,3996.0,4.0,500.0,570.0,102.0,81.5,12.5,,125.1,Flat-6,,,Aluminum,Aluminum,,verified_manual
Toyota 1LR-GUE,Toyota 1LR-GUE,base,Toyota,JDM,1LR-GUE,Naturally Aspirated,4805.0,4.8,553.0,480.0,88.5,97.0,11.8,,115.1,V10,,,Aluminum,Aluminum,,verified_manual
Mazda 13B-REW,Mazda 13B-REW,base,Mazda,JDM,13B-REW,Naturally Aspirated,1308.0,1.3,255.0,294.0,,,9.0,,195.0,Rotary,,,,,,verified_manual
Ford 7.3 Godzilla,Ford 7.3 Godzilla,base,Ford,American,7.3,Naturally Aspirated,7322.0,7.3,430.0,678.0,107.7,101.6,10.5,,58.7,V8,,,Cast iron,Aluminum,,verified_manual
Chevrolet LT2,Chevrolet LT2,base,Chevrolet,American,LT,Naturally Aspirated,6162.0,6.2,495.0,637.0,103.2,92.0,11.5,,80.3,V8,,,Aluminum,Aluminum,,verified_manual
Dodge 6.2 Demon,Dodge 6.2 Demon,base,Dodge,American,6.2,Supercharged,6166.0,6.2,840.0,770.0,103.9,90.9,9.5,,136.2,V8,,,Cast iron,Aluminum,,verified_manual
Cadillac LT4,Cadillac LT4,base,Cadillac,American,LT,Naturally Aspirated,6162.0,6.2,650.0,855.0,103.2,92.0,10.0,,105.5,V8,,,Aluminum,Aluminum,,verified_manual
Mitsubishi 4B11T,Mitsubishi 4B11T,base,Mitsubishi,JDM,4B11T,Turbocharged,1998.0,2.0,291.0,422.0,86.0,86.0,9.0,,145.6,Straight-4,,,Aluminum,Aluminum,,verified_manual
Subaru EJ207,Subaru EJ207,base,Subaru,JDM,EJ,Turbocharged,1994.0,2.0,280.0,392.0,92.0,75.0,8.0,,140.4,Flat-4,,,Aluminum,Aluminum,,verified_manual
Toyota 2GR-FE,Toyota 2GR-FE,base,Toyota,JDM,2GR-FE,Naturally Aspirated,3456.0,3.5,277.0,336.0,94.5,83.0,10.8,,80.2,V6,,,Aluminum,Aluminum,,verified_manual
Toyota 2GR-FSE,Toyota 2GR-FSE,base,Toyota,JDM,2GR-FSE,Naturally Aspirated,3456.0,3.5,311.0,377.0,94.5,83.0,12.0,,90.0,V6,,,Aluminum,Aluminum,,verified_manual
Honda J35Y,Honda J35Y,base,Honda,JDM,J,Naturally Aspirated,3471.0,3.5,280.0,355.0,89.0,93.0,11.5,,80.7,V6,,,Aluminum,Aluminum,,verified_manual
BMW M60 (3.0L),BMW M60,3.0L,BMW,European,M,Naturally Aspirated,3000.0,3.0,,,,,,,,90V8,DOHC,Normally aspirated,Aluminum,Aluminum,19921996,epa_verified
Ferrari Colombo engine (1.5L),Ferrari Colombo engine,1.5L,Ferrari,European,COLOMBO,Naturally Aspirated,1500.0,1.5,,,,,,,,60V12,"SOHC, 24-valveDOHC, 24-valve",Weber carburetorBoschK-JetronicFI,Aluminium,Aluminium,19471988,epa_verified
F154 CB,F154 CB,base,F154,Other,CB,Naturally Aspirated,3900.0,3.9,,,,,,,,,,,,,,epa_verified
F140 FE,F140 FE,base,F140,Other,FE,Naturally Aspirated,6300.0,6.3,,,,,,,,,,,,,,epa_verified
Aston Martin Vantage (2005),Aston Martin Vantage (2005),base,Aston,European,MARTIN,Naturally Aspirated,4300.0,4.3,,,,,,,,"Front mid-engine, rear-wheel-drive",,,,,20052017 (V8 Vantage)20092018 (V12 Vantage),epa_verified
Aston Martin DB10,Aston Martin DB10,base,Aston,European,MARTIN,Naturally Aspirated,4700.0,4.7,,,,,,,,"Front mid-engine, rear-wheel-drive",,,,,2014201510 produced,epa_verified
AM28,AM28,base,AM28,Other,AM,Naturally Aspirated,4300.0,4.3,,,,,,,,,,,,,,epa_verified
AM14,AM14,base,AM14,Other,AM,Naturally Aspirated,4300.0,4.3,,,,,,,,,,,,,,epa_verified
AM11,AM11,base,AM11,Other,AM,Naturally Aspirated,4300.0,4.3,,,,,,,,,,,,,,epa_verified
AM05,AM05,base,AM05,Other,AM,Naturally Aspirated,4300.0,4.3,,,,,,,,,,,,,,epa_verified
AE31,AE31,base,AE31,Other,AE,Naturally Aspirated,5200.0,5.2,,,,,,,,,,,,,,epa_verified
6G72,6G72,base,6G72,Other,6G72,Naturally Aspirated,3000.0,3.0,,,,,,,,,,,,,,epa_verified
6.2 L–6.5 L Lamborghini V12,6.2 L–6.5 L Lamborghini V12,base,6.2,Other,L,Naturally Aspirated,6200.0,6.2,,,,,,,,,,,,,,epa_verified
Ferrari Colombo engine (2.3L),Ferrari Colombo engine,2.3L,Ferrari,European,COLOMBO,Naturally Aspirated,2300.0,2.3,,,,,,,,60V12,"SOHC, 24-valveDOHC, 24-valve",Weber carburetorBoschK-JetronicFI,Aluminium,Aluminium,19471988,epa_verified
Ferrari Colombo engine (2.0L),Ferrari Colombo engine,2.0L,Ferrari,European,COLOMBO,Naturally Aspirated,2000.0,2.0,,,,,,,,60V12,"SOHC, 24-valveDOHC, 24-valve",Weber carburetorBoschK-JetronicFI,Aluminium,Aluminium,19471988,epa_verified
BMW N47 (1.6L),BMW N47,1.6L,BMW,European,N,Turbocharged,1600.0,1.6,,,,,,,,Straight-4,,Common raildirect injection,,,March 2007 - September 2014,epa_verified
Ferrari Colombo engine (2.6L),Ferrari Colombo engine,2.6L,Ferrari,European,COLOMBO,Naturally Aspirated,2600.0,2.6,,,,,,,,60V12,"SOHC, 24-valveDOHC, 24-valve",Weber carburetorBoschK-JetronicFI,Aluminium,Aluminium,19471988,epa_verified
Honda C engine (2.0L),Honda C engine,2.0L,Honda,JDM,C,Naturally Aspirated,2000.0,2.0,,,,,,,,90V6,SOHC&DOHC4 valvesx cyl. (VTEConly in DOHC engines),Fuel injection,Aluminum,Aluminum,19852005,epa_verified
BMW M60 (4.0L),BMW M60,4.0L,BMW,European,M,Naturally Aspirated,4000.0,4.0,,,,,,,,90V8,DOHC,Normally aspirated,Aluminum,Aluminum,19921996,epa_verified
BMW B58B30C,BMW B58B30C,base,BMW,European,B,Naturally Aspirated,2998.0,3.0,,,,,,,,,,,,,,epa_verified
BMW B58,BMW B58,base,BMW,European,B,Turbocharged,2998.0,3.0,,,,,,,,Straight-six,DOHC4 valves x cyl.withValvetronicandDouble VANOS,Direct injection,Closed-deck aluminium,Aluminium,2015present,epa_verified
BMW N43 (2.0L),BMW N43,2.0L,BMW,European,N,Naturally Aspirated,2000.0,2.0,,,,,,,,Inline-4,"DOHC, withVVT",,Aluminium,Aluminium,2007-2011,epa_verified
BMW N43 (1.6L),BMW N43,1.6L,BMW,European,N,Naturally Aspirated,1600.0,1.6,,,,,,,,Inline-4,"DOHC, withVVT",,Aluminium,Aluminium,2007-2011,epa_verified
BMW M73,BMW M73,base,BMW,European,M,Naturally Aspirated,5379.0,5.4,,,,,,,,60V12,SOHC,,,,19932002,epa_verified
BMW M70 (6.1L),BMW M70,6.1L,BMW,European,M,Naturally Aspirated,6100.0,6.1,,,,,,,,60V12,SOHC,,Aluminium,Aluminium,19871994,epa_verified
BMW M70 (6.0L),BMW M70,6.0L,BMW,European,M,Naturally Aspirated,6000.0,6.0,,,,,,,,60V12,SOHC,,Aluminium,Aluminium,19871994,epa_verified
BMW M70 (5.6L),BMW M70,5.6L,BMW,European,M,Naturally Aspirated,5600.0,5.6,,,,,,,,60V12,SOHC,,Aluminium,Aluminium,19871994,epa_verified
BMW M62 (4.8L),BMW M62,4.8L,BMW,European,M,Naturally Aspirated,4800.0,4.8,,,,,,,,90V8,"DOHC, withVVTonM62TU versions",Manifold injection,Aluminium,Aluminium,19952005,epa_verified
BMW M62 (4.6L),BMW M62,4.6L,BMW,European,M,Naturally Aspirated,4600.0,4.6,,,,,,,,90V8,"DOHC, withVVTonM62TU versions",Manifold injection,Aluminium,Aluminium,19952005,epa_verified
BMW M62 (4.4L),BMW M62,4.4L,BMW,European,M,Naturally Aspirated,4400.0,4.4,,,,,,,,90V8,"DOHC, withVVTonM62TU versions",Manifold injection,Aluminium,Aluminium,19952005,epa_verified
BMW M62 (3.5L),BMW M62,3.5L,BMW,European,M,Naturally Aspirated,3500.0,3.5,,,,,,,,90V8,"DOHC, withVVTonM62TU versions",Manifold injection,Aluminium,Aluminium,19952005,epa_verified
BMW M54 (3.0L),BMW M54,3.0L,BMW,European,M,Naturally Aspirated,3000.0,3.0,,,,,,,,Straight-6,DOHCw/VVT,,Aluminium,Aluminium,20002006,epa_verified
Ford Modular engine (5.0L),Ford Modular engine,5.0L,Ford,American,MODULAR,Naturally Aspirated,5000.0,5.0,,,90.2,90.0,,,,90V8andV10,SOHC2- or3 valves per cylwithVCT(some versions)DOHC4 valves per cylwith VCT/Ti-VCT (some versions),Fuel injection,,,1990presentMY: 1991present,epa_verified
Ferrari F50,Ferrari F50,base,Ferrari,European,F,Naturally Aspirated,4700.0,4.7,512.3,,,,,,109.0,"Rear mid-engine, rear-wheel-drive",,,,,19951997349 produced,epa_verified
Ferrari F154 engine (4.0L),Ferrari F154 engine,4.0L,Ferrari,European,F,Turbocharged,4000.0,4.0,,,,,,,,90V8,"DOHC, 32-valve",Gasoline direct injection,Aluminium,Aluminium,2013present,epa_verified
Ferrari F154 engine (3.9L),Ferrari F154 engine,3.9L,Ferrari,European,F,Turbocharged,3900.0,3.9,,,,,,,,90V8,"DOHC, 32-valve",Gasoline direct injection,Aluminium,Aluminium,2013present,epa_verified
Honda J engine (3.2L),Honda J engine,3.2L,Honda,JDM,J,Naturally Aspirated,3200.0,3.2,,,,,,,,60V6,SOHC4-valvewithVTECDOHC4-valve(J30AC and J35Y8),PGM-FIMulti-point fuel injectionDirect injection,Aluminum,Aluminum,1996present,epa_verified
Honda J engine (3.0L),Honda J engine,3.0L,Honda,JDM,J,Naturally Aspirated,3000.0,3.0,,,,,,,,60V6,SOHC4-valvewithVTECDOHC4-valve(J30AC and J35Y8),PGM-FIMulti-point fuel injectionDirect injection,Aluminum,Aluminum,1996present,epa_verified
Ferrari F140 engine (6.3L),Ferrari F140 engine,6.3L,Ferrari,European,F,Naturally Aspirated,6300.0,6.3,,,,,,,,65V12,DOHC,Fuel injectionDirect fuel injection,Aluminium,Aluminium,2002present,epa_verified
Ferrari F140 engine (6.0L),Ferrari F140 engine,6.0L,Ferrari,European,F,Naturally Aspirated,6000.0,6.0,,,,,,,,65V12,DOHC,Fuel injectionDirect fuel injection,Aluminium,Aluminium,2002present,epa_verified
Ferrari F136 engine (4.7L),Ferrari F136 engine,4.7L,Ferrari,European,F,Naturally Aspirated,4700.0,4.7,,,,,,,,"90V8; 180 flat-plane crankshaft (Ferrari) / 90 cross-plane crankshaft (Maserati, Alfa Romeo)","DOHC, 32-valve",Direct injectionMulti-port injection,,,20012020,epa_verified
Ferrari F136 engine (4.5L),Ferrari F136 engine,4.5L,Ferrari,European,F,Naturally Aspirated,4500.0,4.5,,,,,,,,"90V8; 180 flat-plane crankshaft (Ferrari) / 90 cross-plane crankshaft (Maserati, Alfa Romeo)","DOHC, 32-valve",Direct injectionMulti-port injection,,,20012020,epa_verified
Ferrari F136 engine (4.3L),Ferrari F136 engine,4.3L,Ferrari,European,F,Naturally Aspirated,4300.0,4.3,,,,,,,,"90V8; 180 flat-plane crankshaft (Ferrari) / 90 cross-plane crankshaft (Maserati, Alfa Romeo)","DOHC, 32-valve",Direct injectionMulti-port injection,,,20012020,epa_verified
Chrysler Hemi engine (6.4L),Chrysler Hemi engine,6.4L,Chrysler,American,HEMI,Naturally Aspirated,6400.0,6.4,,,102.9,96.1,,,,Naturally aspiratedV8,OHV2valvespercylinder,2X4 barrelCarter AFBCarburetor,Cast iron,AluminumCast iron,19511963,epa_verified
Chrysler Hemi engine (6.2L),Chrysler Hemi engine,6.2L,Chrysler,American,HEMI,Naturally Aspirated,6200.0,6.2,,,102.9,96.1,,,,Naturally aspiratedV8,OHV2valvespercylinder,2X4 barrelCarter AFBCarburetor,Cast iron,AluminumCast iron,19511963,epa_verified
Chrysler Hemi engine (6.1L),Chrysler Hemi engine,6.1L,Chrysler,American,HEMI,Naturally Aspirated,6100.0,6.1,,,102.9,96.1,,,,Naturally aspiratedV8,OHV2valvespercylinder,2X4 barrelCarter AFBCarburetor,Cast iron,AluminumCast iron,19511963,epa_verified
Chrysler Hemi engine (5.7L),Chrysler Hemi engine,5.7L,Chrysler,American,HEMI,Naturally Aspirated,5700.0,5.7,,,102.9,96.1,,,,Naturally aspiratedV8,OHV2valvespercylinder,2X4 barrelCarter AFBCarburetor,Cast iron,AluminumCast iron,19511963,epa_verified
Chevrolet small-block engine (first- and second-generation) (6.6L),Chevrolet small-block engine (first- and second-generation),6.6L,Chevrolet,American,SMALL,Naturally Aspirated,6600.0,6.6,,,88.9,76.2,,,,90V8,OHV2 valves  cyl.DOHC4 valves cyl. (LT5),"Carburetor,fuel injection","Cast iron,aluminum","Cast iron, aluminum",19542003Flint North(engine block and heads)Saginaw Metal Casting Operations,epa_verified
Honda F20C engine (2.0L),Honda F20C engine,2.0L,Honda,JDM,F,Naturally Aspirated,2000.0,2.0,,,,,,,,Naturally-aspiratedInline-4,DOHC4 valves x cyl.withVTEC,Fuel injection,Aluminum,Aluminum,19992009,epa_verified
Honda Civic (seventh generation),Honda Civic (seventh generation),base,Honda,JDM,CIVIC,Naturally Aspirated,1400.0,1.4,,,,,,,,"Front-engine, front-wheel-drive",,,,,June 2000September 2005,epa_verified
Honda C30A,Honda C30A,base,Honda,JDM,C,Naturally Aspirated,3000.0,3.0,,,,,,,,,,,,,,epa_verified
Honda C engine (3.5L),Honda C engine,3.5L,Honda,JDM,C,Naturally Aspirated,3500.0,3.5,,,,,,,,90V6,SOHC&DOHC4 valvesx cyl. (VTEConly in DOHC engines),Fuel injection,Aluminum,Aluminum,19852005,epa_verified
Honda C engine (3.2L),Honda C engine,3.2L,Honda,JDM,C,Naturally Aspirated,3200.0,3.2,,,,,,,,90V6,SOHC&DOHC4 valvesx cyl. (VTEConly in DOHC engines),Fuel injection,Aluminum,Aluminum,19852005,epa_verified
Honda C engine (3.0L),Honda C engine,3.0L,Honda,JDM,C,Naturally Aspirated,3000.0,3.0,,,,,,,,90V6,SOHC&DOHC4 valvesx cyl. (VTEConly in DOHC engines),Fuel injection,Aluminum,Aluminum,19852005,epa_verified
Honda C engine (2.7L),Honda C engine,2.7L,Honda,JDM,C,Naturally Aspirated,2700.0,2.7,,,,,,,,90V6,SOHC&DOHC4 valvesx cyl. (VTEConly in DOHC engines),Fuel injection,Aluminum,Aluminum,19852005,epa_verified
Honda C engine (2.5L),Honda C engine,2.5L,Honda,JDM,C,Naturally Aspirated,2500.0,2.5,,,,,,,,90V6,SOHC&DOHC4 valvesx cyl. (VTEConly in DOHC engines),Fuel injection,Aluminum,Aluminum,19852005,epa_verified
Jaguar AJ-V8 engine (3.0L),Jaguar AJ-V8 engine,3.0L,Jaguar,European,AJ,Naturally Aspirated,3000.0,3.0,,,,,,,,90V890V6,DOHC4 valves x cyl.withVVT,Multi-port fuel injection(1996-2010)Direct injection(2010-present),Aluminium alloy,Aluminium alloy,199620102005-2017 (AM05/AM14)20102012 (AJ133/AJ133S)20132024 (AJ126/AJ133S),epa_verified
Hemi,Hemi,base,Hemi,Other,HEMI,Naturally Aspirated,3000.0,3.0,,,,,,,,,,,,,,epa_verified
Hellcat Hemi,Hellcat Hemi,base,Hellcat,Other,HEMI,Supercharged,6166.0,6.2,,,,,,,,,,,,,,epa_verified
Ford small block engine,Ford small block engine,base,Ford,American,SMALL,Naturally Aspirated,3621.5,3.6,,,4.0,3.5,,,,Naturally aspirated90 V8,"Pushrod OHVCast iron cam, Flat tappet (196284 302, 196993 351W)Steel roller cam & lifters (19852001 302, 199497 351W)","Carbureted(19621985 302, 19691991 351W)EFI(19881997 351W, 19862001 all others)","Cast ironDeck height:9.480"" (196970 351W)9.503"" (197196 351W)8.2018.210"" (BOSS 302)8.206"" (221, 260, 289, 302)",Cast iron,July 1961  2002,epa_verified
Ford Modular engine (5.8L),Ford Modular engine,5.8L,Ford,American,MODULAR,Naturally Aspirated,5800.0,5.8,,,90.2,90.0,,,,90V8andV10,SOHC2- or3 valves per cylwithVCT(some versions)DOHC4 valves per cylwith VCT/Ti-VCT (some versions),Fuel injection,,,1990presentMY: 1991present,epa_verified
Ford Modular engine (5.4L),Ford Modular engine,5.4L,Ford,American,MODULAR,Naturally Aspirated,5400.0,5.4,,,90.2,90.0,,,,90V8andV10,SOHC2- or3 valves per cylwithVCT(some versions)DOHC4 valves per cylwith VCT/Ti-VCT (some versions),Fuel injection,,,1990presentMY: 1991present,epa_verified
Ford Modular engine (5.3L),Ford Modular engine,5.3L,Ford,American,MODULAR,Naturally Aspirated,5300.0,5.3,,,90.2,90.0,,,,90V8andV10,SOHC2- or3 valves per cylwithVCT(some versions)DOHC4 valves per cylwith VCT/Ti-VCT (some versions),Fuel injection,,,1990presentMY: 1991present,epa_verified
Ford Modular engine (5.2L),Ford Modular engine,5.2L,Ford,American,MODULAR,Naturally Aspirated,5200.0,5.2,,,90.2,90.0,,,,90V8andV10,SOHC2- or3 valves per cylwithVCT(some versions)DOHC4 valves per cylwith VCT/Ti-VCT (some versions),Fuel injection,,,1990presentMY: 1991present,epa_verified
BMW N63 (4.0L),BMW N63,4.0L,BMW,European,N,Turbocharged,4000.0,4.0,,,,,,,,90V8,DOHCw/VVT,,Aluminium,Aluminium,2008present,epa_verified
BMW N55,BMW N55,base,BMW,European,N,Naturally Aspirated,2979.0,3.0,500.0,,,,,,167.8,Straight-6,"DOHC, withVVT&VVL",,Aluminium,Aluminium,20092021,epa_verified
